;VISITATORI PER PROVENIENZA GEOGRAFICA – GENNAIO 2025;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;719;229;464;304;36;20;32;0;28;1.832;8,1%;;260;2.092;;
Museo Archeologico;2.466;1.105;1.494;496;11;36;178;8;128;5.922;26,2%;;0;5.922;;
Collezioni Comunali;827;1.157;1.574;595;46;67;104;3;81;4.454;19,7%;;0;4.454;;
Museo Medievale;405;386;748;470;19;38;56;2;292;2.416;10,7%;;0;2.416;;
Museo Bargellini;529;684;1.094;335;46;76;96;4;95;2.959;13,1%;;0;2.959;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;194;48;47;17;3;0;4;0;1;314;1,4%;;0;314;;
Museo del Patrimonio Industriale;49;22;48;6;0;1;3;0;5;134;0,6%;;0;134;;
Museo di Ustica;179;511;87;15;0;2;6;2;5;807;3,6%;;0;807;;
Casa Morandi;42;62;129;48;0;7;79;0;17;384;1,7%;;0;384;;
Mambo Collezione;1.198;251;565;395;6;27;80;5;141;2.668;11,8%;;0;2.668;;
MAMbo “Kusmirowski”;547;10;27;65;0;2;7;1;27;686;3,0%;;0;686;;
;;;;;;;;;;;;;;;;
Totale Settore Musei;7.155;4.465;6.277;2.746;167;276;645;25;820;22.576;100,0%;;260;22.836;;
;31,69%;19,78%;27,80%;12,16%;0,74%;1,22%;2,86%;0,11%;3,63%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – LUGLIO 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;585;246;523;320;28;35;45;0;36;1.818;7,7%;;706;2.524;;
Museo Archeologico;2.686;1.131;1.909;604;30;43;219;21;151;6.794;28,8%;;0;6.794;;
Collezioni Comunali;760;836;1.674;571;36;48;115;0;63;4.103;17,4%;;0;4.103;;
Museo Medievale;341;355;885;333;12;38;67;2;161;2.194;9,3%;;0;2.194;;
Museo Bargellini;242;390;1.055;280;32;61;91;8;59;2.218;9,4%;;1;2.219;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;58;44;30;11;4;0;5;0;0;152;0,6%;;0;152;;
Museo del Patrimonio Industriale;19;13;16;13;0;0;5;0;1;67;0,3%;;0;67;;
Museo di Ustica;373;528;125;21;0;0;0;0;8;1.055;4,5%;;0;1.055;;
Casa Morandi;18;11;78;42;0;2;61;0;12;224;1,0%;;0;224;;
Mambo Collezione;1.484;211;581;417;9;18;215;17;192;3.144;13,3%;;0;3.144;;
MAMbo “Kusmirowski”;941;133;267;256;5;16;34;8;131;1.791;7,6%;;0;1.791;;
;;;;;;;;;;;;;;;;
Totale Settore Musei;7.507;3.898;7.143;2.868;156;261;857;56;814;23.560;100,0%;;707;24.267;;
;31,86%;16,54%;30,32%;12,17%;0,66%;1,11%;3,64%;0,24%;3,46%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – AGOSTO 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;724;414;603;204;23;54;53;10;51;2.136;8,0%;;133;2.269;;
Museo Archeologico;3.853;2.410;2.236;469;10;35;144;14;63;9.234;34,4%;;0;9.234;;
Collezioni Comunali;551;1.263;2.564;619;33;50;100;3;53;5.236;19,5%;;0;5.236;;
Museo Medievale;436;400;1.106;269;10;20;81;12;221;2.555;9,5%;;0;2.555;;
Museo Bargellini;339;481;1.565;225;38;95;92;10;60;2.905;10,8%;;0;2.905;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;CHIUSO;;;;;;;;;;;;;;;
Museo del Patrimonio Industriale;18;0;7;0;0;0;0;0;0;25;0,1%;;0;25;;
Museo di Ustica;370;351;136;8;0;0;5;0;15;885;3,3%;;0;885;;
Casa Morandi;24;25;119;30;0;4;100;0;21;323;1,2%;;0;323;;
Mambo Collezione;768;241;687;272;13;20;88;7;155;2.251;8,4%;;0;2.251;;
MAMbo “Kusmirowski”;545;134;340;138;5;10;23;6;79;1.280;4,8%;;0;1.280;;
;;;;;;;;;;;;;;;;
Totale Settore Musei;7.628;5.719;9.363;2.234;132;288;686;62;718;26.830;100,0%;;133;26.963;;
;28,43%;21,32%;34,90%;8,33%;0,49%;1,07%;2,56%;0,23%;2,68%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – SETTEMBRE 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;317;217;426;273;40;57;57;5;50;1.442;7,1%;;172;1.614;;
Museo Archeologico;340;555;1.902;509;16;43;136;7;124;3.632;17,8%;;0;3.632;;
Collezioni Comunali;623;1.169;1.844;592;18;38;55;0;144;4.483;22,0%;;0;4.483;;
Museo Medievale;669;454;936;419;11;44;48;1;303;2.885;14,1%;;0;2.885;;
Museo Bargellini;556;489;796;284;20;51;54;5;88;2.343;11,5%;;0;2.343;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;212;23;26;10;0;2;1;0;2;276;1,4%;;0;276;;
Museo del Patrimonio Industriale;76;17;11;5;0;2;3;0;3;117;0,6%;;0;117;;
Museo di Ustica;242;443;127;10;0;0;9;0;5;836;4,1%;;0;836;;
Casa Morandi;54;35;80;66;2;0;47;0;35;319;1,6%;;0;319;;
Mambo Collezione;1.254;183;472;333;4;17;56;0;140;2.459;12,1%;;0;2.459;;
MAMbo “Kusmirowski”;896;109;271;203;0;10;19;0;95;1.603;7,9%;;0;1.603;;
;;;;;;;;;;;;;;;;
Totale Settore Musei;5.239;3.694;6.891;2.704;111;264;485;18;989;20.395;100,0%;;172;20.567;;
;25,69%;18,11%;33,79%;13,26%;0,54%;1,29%;2,38%;0,09%;4,85%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – OTTOBRE 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;467;352;696;307;84;64;59;15;48;2.092;6,5%;;41;2.133;;
Museo Archeologico;703;729;2.074;617;12;79;166;10;140;4.530;14,1%;;0;4.530;;
Collezioni Comunali;972;1.230;2.400;703;29;49;80;2;183;5.648;17,6%;;0;5.648;;
Museo Medievale;657;439;1.115;472;21;44;71;0;245;3.064;9,5%;;25;3.089;;
Museo Bargellini;759;633;1.420;448;11;112;78;1;108;3.570;11,1%;;0;3.570;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;252;30;47;9;0;1;2;0;1;342;1,1%;;0;342;;
Museo del Patrimonio Industriale;490;58;112;66;0;9;3;0;1;739;2,3%;;0;739;;
Museo di Ustica;140;538;214;26;5;2;2;0;9;936;2,9%;;0;936;;
